"Control1" "Control2" "Control3" "Treatment1" "Treatment2" "Treatment3" "control" "experimental" "ratio" "ratio_log2"
"244905_at" 15.8692346290887 40.0412478057203 58.7657341782099 341.353404672893 16.8013535532194 68.9420386518371 38.225405537673 142.365598959317 3.72437118604297 1.89699686494211
"244913_at" 38.1162496845631 57.0115952506009 50.1253262023377 13.6024900385937 8.73770311523451 15.4555478915204 48.4177237125006 12.5985803484495 0.260205961421454 -1.94227407973924
"244914_at" 9.20631997462699 23.6615320596277 37.6368460086572 25.3816535695608 7.40454846676142 130.137890822419 23.501566014304 54.3080309529137 2.31082604962834 1.20840866318768
"244916_at" 3.37193910803553 38.9626713825142 16.943953649286 68.912712685365 2.8001837569587 52.7093377120281 19.7595213799452 41.4740780514506 2.09894142949962 1.06966190910296
"244917_at" 12.2903083235472 16.8306906481569 19.1487776215984 48.1506989628189 10.2069572244319 38.3308282109919 16.0899255311008 32.2294947994142 2.00308539260276 1.00222392532363
"244925_at" 62.5749423532582 85.5675141435855 56.2597938812243 9.86484072370512 41.6185707165328 29.0128321084021 68.134083459356 26.83208118288 0.393812902743252 -1.34441771493597
"244930_at" 49.01306508174 28.8413939213382 249.150230272347 28.5307461548179 99.2012000470423 21.0456327903953 109.001563091808 49.5925263307518 0.45497078137294 -1.13615419775603
"244942_at" 5.36107234773414 173.297911767186 348.378538809917 10.6797034853081 6.84753835379288 9.30053151293164 175.679174308279 8.94259111734421 0.050902966458915 -4.29610645546079
"244943_at" 252.681866796845 407.19805952891 386.600732342456 238.751356404433 154.571262229598 43.2951942273685 348.826886222737 145.5392709538 0.417224923599692 -1.26110275275433
"244945_at" 157.299361346542 204.15103988488 24.238488420591 552.282303518016 93.5240264369965 129.357763219197 128.562963217338 258.38803105807 2.00981701566151 1.00706415681968
"244948_at" 12.8473930430419 232.575622514772 198.98783340271 205.437403127759 4.53341845625836 9.41691770505646 148.136949653508 73.1292464296913 0.493659729059768 -1.01841113474949
"244952_at" 77.5493263728478 127.479393191973 200.519704211464 30.5303627043306 51.4988249392182 115.343369880841 135.182807925428 65.7908525081299 0.486680618029643 -1.03895277420418
"244956_s_at" 95.0244949201824 40.6273171245567 28.0332475026726 459.475344264206 92.2585108560056 24.0234532459291 54.5616865158039 191.919102788714 3.5174701341595 1.81453817399972
"244958_at" 51.027558037108 16.0861099443211 29.1149232347263 76.7156678296739 38.7103510324851 97.4789146066623 32.0761970720518 70.9683111562738 2.21249143085322 1.14567186753936
"244977_at" 101.711537483149 29.4188213921657 282.294257138832 15.3820599577992 62.9022507711469 111.080196564705 137.808205338049 63.121502431217 0.458038781336551 -1.12645834094664
"244989_s_at" 40.5258198950669 370.313131673025 252.449058645533 58.6628904288536 93.4786806858373 14.3247881246831 221.096003404542 55.4887864131247 0.250971458365063 -1.99440479133485
"244999_at" 96.4531889043503 322.883325115798 487.779639925532 16.2204476480729 100.343137476956 223.695237489534 302.372051315227 113.419607538188 0.375099507526726 -1.41465472602079
"245000_at" 20.1595533819734 99.8186786214026 31.8382688807779 229.575269158007 87.3809107144217 151.877661193563 50.605500294718 156.277947021997 3.08816128902709 1.62674810390228
"245029_at" 28.8053330129641 110.659201587012 45.0314213358386 22.9584601726993 23.2709887704005 13.7106930914147 61.4986519786049 19.9800473448382 0.324885939805463 -1.62199478585172
"245034_at" 103.183287635157 22.6655244666663 57.1458330191549 309.997450704079 135.087675673537 26.5668527116983 60.9982150403261 157.217326363105 2.57740863825553 1.36592128909804
"245068_at" 85.0393668526916 36.6838409664172 83.1642768725774 44.9003437212701 19.339016965732 6.6479549160176 68.2958282305621 23.6291052010066 0.345981677259061 -1.53123245826072
"245071_at" 35.4447345227276 46.5896329453455 234.264347413538 21.4497500556813 26.7003869710184 11.7296599065553 105.432904960537 19.959932311085 0.189314069630879 -2.40114646021971
"245072_s_at" 18.9013770509462 16.9080874073158 23.2153601753649 324.286409213077 36.7937768806466 115.707658176479 19.6749415445423 158.929281423401 8.07775113657132 3.01395369944964
"245073_at" 7.39140782627266 33.5578915023904 50.6733810415668 157.369984262942 6.84621746840012 119.349075100915 30.5408934567433 94.5217589440857 3.09492448470645 1.62990420851268
"245075_at" 13.2953227722801 98.9742553264676 42.1289224118761 17.5604586743735 24.9503768245114 12.1761288814808 51.4661668368746 18.2289881267886 0.354193623639517 -1.49738985463957
"245076_at" 206.95316229297 54.0197718467192 177.368444141173 270.777002465638 420.383223983508 194.604318640204 146.113792760287 295.254848363117 2.02071852893114 1.01486837901817
"245077_at" 57.0709579624577 377.721643111231 223.141787018214 62.4025398838168 23.0749905992528 216.998341380293 219.311462697301 100.825290621121 0.459735617012789 -1.12112365475566
"245082_at" 346.811858300294 266.831374448087 237.876962192585 280.332921364997 20.2218979009379 38.0221778035338 283.840064980322 112.858999023156 0.397614758969917 -1.33055678593102
"245089_at" 404.796315761678 478.77024684787 634.904222839335 142.487363294771 422.814887152841 182.745193330908 506.156928482961 249.349147926173 0.492632094701371 -1.02141747322554
"245091_at" 9.78873322144173 14.6751906119742 14.2644650204013 38.6114170382272 43.423888220544 136.255644767163 12.9094629512724 72.7636500086447 5.63645833163593 2.49478892993947
"245103_at" 8.71951283146245 8.1647648447834 128.042491984018 16.865261935133 11.8443431959244 15.5392563569806 48.3089232200879 14.7496204960127 0.305318759203464 -1.71161186145674
"245110_at" 193.340960135204 241.58776939 388.363436940734 32.9682435774455 121.225645679046 147.4746117232 274.430722155313 100.556166993231 0.366417309998992 -1.44844043517571
"245117_at" 327.599331461509 371.922356407593 458.382140046466 1020.86636131529 679.811423734175 765.215753009795 385.967942638523 821.96451268642 2.1296186078755 1.09059508219096
"245125_at" 14.5422935891422 74.1883260133043 18.1058709055391 17.0639376984689 23.0485789166948 13.0809941013671 35.6121635026619 17.7311702388436 0.49789646274982 -1.00608232891385
"245138_at" 5.48937449840473 35.2948855503722 18.4177238380838 14.5459051752819 6.09599857729633 7.45988177424522 19.7339946289536 9.36726184227448 0.474676415920926 -1.07498372297795
"245154_at" 102.952383126367 74.0679880169521 334.038343339114 67.5471561274417 24.7357351961409 15.8846827108534 170.352904827478 36.0558580114787 0.211653907798013 -2.24022096928906
"245157_at" 2.69041501048748 40.5734449106756 40.3214719940427 294.955846642568 4.54889609871032 170.096919798699 27.8617773050686 156.533887513326 5.61823051700472 2.49011581971473
"245158_at" 108.252437505565 135.603461749584 438.759454877291 29.4933870300411 108.997046984737 193.917642464849 227.53845137748 110.802692159876 0.486962495741246 -1.03811742995478
"245160_at" 16.1538279409076 42.7768040124391 213.940200973682 23.2346982229043 42.5863365426132 68.4105646556116 90.9569443090096 44.7438664737097 0.491923588832323 -1.02349385772517
"245162_at" 96.0244763329883 112.225033396973 227.174091376802 128.321498024498 39.9054321253757 10.144341718717 145.141200368921 59.4570906228636 0.409649985474387 -1.28753633121895
"245163_at" 17.6478641822796 38.9351044546701 33.9126339492231 142.627839992945 55.4060517585471 186.989456895452 30.1652008620576 128.341116215648 4.25460837481371 2.0890263418486
"245170_at" 14.8796681890509 24.8629919012397 143.822058929125 33.5428861252346 23.7822094749661 18.0796314830766 61.1882396731385 25.1349090277591 0.41078006430692 -1.2835619274071
"245173_at" 109.647313466086 125.429239214429 32.6069499993896 45.2807595291465 27.4981807628538 30.7426755489298 89.2278342266349 34.50720528031 0.386731400346031 -1.37059618724358
"245189_at" 5.75879465152404 150.37163866056 41.1013907934926 26.53016631796 25.0856094632224 9.66415664273503 65.7439413685255 20.4266441413058 0.310700023699597 -1.68640574338162
"245193_at" 2093.79007925181 1697.12040838398 1546.80974095531 217.579417198808 350.426326853063 645.239167000784 1779.24007619703 404.414970350885 0.22729645974212 -2.1373528812651
"245198_at" 345.569567331454 94.1224022333839 136.171806588652 701.47635007899 292.367261440249 297.770365347755 191.954592051163 430.537992288998 2.24291582550025 1.16537547846606
"245204_at" 6.300023343605 65.3618741538034 21.1896081788074 59.7184741392658 116.373129510302 68.797527129457 30.9505018920719 81.6297102596749 2.63742767546476 1.39913153223538
"245210_at" 238.872405284891 189.982474926718 142.716547430381 522.606110651304 332.814530216006 362.123466286909 190.523809213997 405.848035718073 2.1301696485725 1.09096833252054
"245214_at" 46.0537840342984 21.4228857769978 44.8221319537321 108.356528862052 31.5956584720217 102.160440519324 37.4329339216761 80.7042092844659 2.15596804282907 1.10833579367775
"245217_at" 5.09715456716566 41.3997131143076 66.479908395702 34.3152858548968 8.55763658059827 233.522958646982 37.6589253590584 92.1319603608257 2.44648405344536 1.29070987909621
"245221_s_at" 41.9639219991603 119.409123883489 50.4735862390336 330.389950166876 85.9501680339328 199.303330547314 70.615544040561 205.214482916041 2.90608088777405 1.53907485946298
"245225_at" 9.01813256525805 309.605524269232 60.2289192115489 42.7441403271009 16.762868801411 37.9253901171331 126.284192015346 32.477466415215 0.257177607877226 -1.95916306035066
"245233_at" 23.5063164071072 12.5990083061556 34.0345803696513 14.8355590980151 11.8641648043421 133.559513964952 23.3799683609714 53.4197459557697 2.284851079822 1.19210013753557
"245234_at" 224.533572961233 301.701304225943 443.080964807773 22.0761335535562 150.8262402967 152.590689583504 323.105280664983 108.497687811253 0.335796702511189 -1.57434003165862
"245239_at" 112.60889317214 34.4534015417864 195.318001907438 16.622496339072 83.1165733104476 12.3620299395707 114.126765540455 37.3670331963634 0.327416912407965 -1.61079925011584
"245240_at" 38.3507983855931 123.426220172615 370.649575422827 104.600478251058 18.1516521633188 43.7200207927999 177.475531327012 55.4907170690589 0.312666859787072 -1.67730178177907
"245241_at" 16.2492506737918 37.7214239608146 19.1902429475679 364.545034862808 4.84915337483823 25.7854492339703 24.3869725273914 131.726545823872 5.40151286412928 2.43336353614557
"245245_at" 83.5465284563535 191.236467437809 193.323698674437 15.3509668087689 78.1887566053218 110.543795285331 156.0355648562 68.0278395664739 0.435976500800746 -1.1976777192702
"245253_at" 55.870569881688 252.159623858592 106.853274844985 43.874082460087 27.1848503878816 64.2472119368486 138.294489528422 45.1020482616057 0.326130480074816 -1.61647881357454
"245258_at" 156.266202485709 62.1035983240925 323.761928176121 543.818795618943 474.93275325411 431.596377016041 180.710576328641 483.449308629698 2.6752684787552 1.41968368161939
"245264_at" 8.44413595712902 201.638947067267 86.4674901340236 7.99103262214785 49.4811006193328 14.4780638803467 98.8501910528065 23.9833990406091 0.242623699409918 -2.0432076155286
"245314_at" 144.212888993961 39.5882646998508 32.5560111192423 187.72464733626 177.732170962846 111.615040366364 72.1190549376847 159.02395288849 2.20501992193182 1.1407916903145
"245319_at" 156.571117342472 32.3923127528421 373.276558228066 11.4808629832985 131.134934782834 55.0010738962721 187.413329441127 65.8722905541349 0.351481352743524 -1.50847994333652
"245335_at" 8.98383317805086 64.5527584010196 167.199308329844 12.5285352509889 6.78866356410839 5.88948211700486 80.2452999696382 8.40222697736738 0.104706780092373 -3.25557323056572
"245353_at" 257.841923898824 478.134897790795 109.414672612203 1012.20477217594 893.665862265356 754.298967347975 281.797164767274 886.723200596424 3.14667183159467 1.65382672689877
"245364_at" 154.107327715447 15.1341190553622 60.174252259848 150.700788168331 289.233455259663 232.127131722119 76.4718996768857 224.020458383371 2.92944806301292 1.55062887223706
"245371_at" 88.3413235239105 21.8669758574998 17.1049068313085 48.3557559182592 92.9977778917646 117.578714673497 42.4377354042396 86.3107494945069 2.03382081235853 1.02419257766669
"245375_at" 28.4728852277756 112.228289557456 112.717232058059 391.355139331832 34.2278623700117 127.054833128545 84.4728022810969 184.21261161013 2.18073281145726 1.12481301839724
"245376_at" 81.247883918011 69.0570704455501 342.090553371064 24.3450847196579 56.5964137934077 137.887153899686 164.131835911542 72.9428841375839 0.444416427394964 -1.17001594944023
"245377_at" 63.1271334590293 228.824851368815 201.573118783669 46.2459930545387 41.6674328504023 29.9781143083122 164.508367870504 39.2971800710844 0.238876481359403 -2.06566327498348
"245381_at" 9.4368683919993 35.6729454767922 85.9150579480838 249.922401239151 65.6824249989293 248.583444726128 43.6749572722918 188.062756988069 4.30596315906141 2.10633597615476
"245388_at" 121.944726228837 298.125079999967 35.1023999082611 56.4868582845992 82.2988485770392 15.0207467124166 151.724068712355 51.2688178580183 0.337908271859068 -1.56529642735698
"245390_at" 255.27679506408 161.947542875985 29.5825433430432 480.450942810322 204.453338163892 275.068658986943 148.935627094369 319.990979987052 2.14851870052756 1.1033423342638
"245392_at" 3.40062914731958 71.9233107607597 69.3643154485348 736.312148536567 333.073304067467 626.166060251331 48.2294184522047 565.183837618455 11.7186533812045 3.55073489059653
