"Control1" "Control2" "Control3" "Treatment1" "Treatment2" "Treatment3" "control" "experimental" "ratio" "ratio_log2"
"244905_at" 15.8692346290887 40.0412478057203 58.7657341782099 341.353404672893 16.8013535532194 68.9420386518371 38.225405537673 142.365598959317 3.72437118604297 1.89699686494211
"244914_at" 9.20631997462699 23.6615320596277 37.6368460086572 25.3816535695608 7.40454846676142 130.137890822419 23.501566014304 54.3080309529137 2.31082604962834 1.20840866318768
"244916_at" 3.37193910803553 38.9626713825142 16.943953649286 68.912712685365 2.8001837569587 52.7093377120281 19.7595213799452 41.4740780514506 2.09894142949962 1.06966190910296
"244917_at" 12.2903083235472 16.8306906481569 19.1487776215984 48.1506989628189 10.2069572244319 38.3308282109919 16.0899255311008 32.2294947994142 2.00308539260276 1.00222392532363
"244945_at" 157.299361346542 204.15103988488 24.238488420591 552.282303518016 93.5240264369965 129.357763219197 128.562963217338 258.38803105807 2.00981701566151 1.00706415681968
"244956_s_at" 95.0244949201824 40.6273171245567 28.0332475026726 459.475344264206 92.2585108560056 24.0234532459291 54.5616865158039 191.919102788714 3.5174701341595 1.81453817399972
"244958_at" 51.027558037108 16.0861099443211 29.1149232347263 76.7156678296739 38.7103510324851 97.4789146066623 32.0761970720518 70.9683111562738 2.21249143085322 1.14567186753936
"245000_at" 20.1595533819734 99.8186786214026 31.8382688807779 229.575269158007 87.3809107144217 151.877661193563 50.605500294718 156.277947021997 3.08816128902709 1.62674810390228
"245034_at" 103.183287635157 22.6655244666663 57.1458330191549 309.997450704079 135.087675673537 26.5668527116983 60.9982150403261 157.217326363105 2.57740863825553 1.36592128909804
"245072_s_at" 18.9013770509462 16.9080874073158 23.2153601753649 324.286409213077 36.7937768806466 115.707658176479 19.6749415445423 158.929281423401 8.07775113657132 3.01395369944964
"245073_at" 7.39140782627266 33.5578915023904 50.6733810415668 157.369984262942 6.84621746840012 119.349075100915 30.5408934567433 94.5217589440857 3.09492448470645 1.62990420851268
"245076_at" 206.95316229297 54.0197718467192 177.368444141173 270.777002465638 420.383223983508 194.604318640204 146.113792760287 295.254848363117 2.02071852893114 1.01486837901817
"245091_at" 9.78873322144173 14.6751906119742 14.2644650204013 38.6114170382272 43.423888220544 136.255644767163 12.9094629512724 72.7636500086447 5.63645833163593 2.49478892993947
"245117_at" 327.599331461509 371.922356407593 458.382140046466 1020.86636131529 679.811423734175 765.215753009795 385.967942638523 821.96451268642 2.1296186078755 1.09059508219096
"245157_at" 2.69041501048748 40.5734449106756 40.3214719940427 294.955846642568 4.54889609871032 170.096919798699 27.8617773050686 156.533887513326 5.61823051700472 2.49011581971473
"245163_at" 17.6478641822796 38.9351044546701 33.9126339492231 142.627839992945 55.4060517585471 186.989456895452 30.1652008620576 128.341116215648 4.25460837481371 2.0890263418486
"245198_at" 345.569567331454 94.1224022333839 136.171806588652 701.47635007899 292.367261440249 297.770365347755 191.954592051163 430.537992288998 2.24291582550025 1.16537547846606
"245204_at" 6.300023343605 65.3618741538034 21.1896081788074 59.7184741392658 116.373129510302 68.797527129457 30.9505018920719 81.6297102596749 2.63742767546476 1.39913153223538
"245210_at" 238.872405284891 189.982474926718 142.716547430381 522.606110651304 332.814530216006 362.123466286909 190.523809213997 405.848035718073 2.1301696485725 1.09096833252054
"245214_at" 46.0537840342984 21.4228857769978 44.8221319537321 108.356528862052 31.5956584720217 102.160440519324 37.4329339216761 80.7042092844659 2.15596804282907 1.10833579367775
"245217_at" 5.09715456716566 41.3997131143076 66.479908395702 34.3152858548968 8.55763658059827 233.522958646982 37.6589253590584 92.1319603608257 2.44648405344536 1.29070987909621
"245221_s_at" 41.9639219991603 119.409123883489 50.4735862390336 330.389950166876 85.9501680339328 199.303330547314 70.615544040561 205.214482916041 2.90608088777405 1.53907485946298
"245233_at" 23.5063164071072 12.5990083061556 34.0345803696513 14.8355590980151 11.8641648043421 133.559513964952 23.3799683609714 53.4197459557697 2.284851079822 1.19210013753557
"245241_at" 16.2492506737918 37.7214239608146 19.1902429475679 364.545034862808 4.84915337483823 25.7854492339703 24.3869725273914 131.726545823872 5.40151286412928 2.43336353614557
"245258_at" 156.266202485709 62.1035983240925 323.761928176121 543.818795618943 474.93275325411 431.596377016041 180.710576328641 483.449308629698 2.6752684787552 1.41968368161939
"245314_at" 144.212888993961 39.5882646998508 32.5560111192423 187.72464733626 177.732170962846 111.615040366364 72.1190549376847 159.02395288849 2.20501992193182 1.1407916903145
"245353_at" 257.841923898824 478.134897790795 109.414672612203 1012.20477217594 893.665862265356 754.298967347975 281.797164767274 886.723200596424 3.14667183159467 1.65382672689877
"245364_at" 154.107327715447 15.1341190553622 60.174252259848 150.700788168331 289.233455259663 232.127131722119 76.4718996768857 224.020458383371 2.92944806301292 1.55062887223706
"245371_at" 88.3413235239105 21.8669758574998 17.1049068313085 48.3557559182592 92.9977778917646 117.578714673497 42.4377354042396 86.3107494945069 2.03382081235853 1.02419257766669
"245375_at" 28.4728852277756 112.228289557456 112.717232058059 391.355139331832 34.2278623700117 127.054833128545 84.4728022810969 184.21261161013 2.18073281145726 1.12481301839724
"245381_at" 9.4368683919993 35.6729454767922 85.9150579480838 249.922401239151 65.6824249989293 248.583444726128 43.6749572722918 188.062756988069 4.30596315906141 2.10633597615476
"245390_at" 255.27679506408 161.947542875985 29.5825433430432 480.450942810322 204.453338163892 275.068658986943 148.935627094369 319.990979987052 2.14851870052756 1.1033423342638
"245392_at" 3.40062914731958 71.9233107607597 69.3643154485348 736.312148536567 333.073304067467 626.166060251331 48.2294184522047 565.183837618455 11.7186533812045 3.55073489059653
"245409_at" 29.3080271387957 22.0552857718704 25.881533451241 249.708967697922 22.0564558270005 23.1776304395538 25.7482821206357 98.3143513214921 3.81828779337085 1.93292584617331
"245417_at" 16.5259807699314 11.2371239874571 41.1816541044157 106.397798636914 54.8443233168993 12.0646111190912 22.9815862872681 57.7689110243015 2.51370424574677 1.32981491694436
"245440_at" 33.4199004885391 95.303984492632 40.8607228657886 499.623888939552 47.7943361092851 14.1628489621486 56.5282026156532 187.193691336995 3.31150970091448 1.7274890845457
"245447_at" 17.6817295123358 132.469875473098 26.658334979258 354.602602281005 9.39759626982947 21.5751168884222 58.9366466548973 128.525105146419 2.18073325241926 1.12481331012195
"245452_at" 12.0750658956817 42.2066759285575 70.9923321762867 327.359752732861 35.753914361711 109.451801491086 41.758024666842 157.521822861886 3.77225273749518 1.91542633850399
"245457_s_at" 156.773937805502 160.613618280038 67.0364767625421 500.205008771923 201.089258951559 230.728609854127 128.141344282694 310.67429252587 2.42446568876699 1.27766683674271
"245461_at" 81.246836526573 47.28237538563 54.9163853699402 456.026020147706 98.2183019168973 68.0989551733247 61.1485324273811 207.447759079309 3.39252228703396 1.76235829340029
"245472_at" 5.00991158648465 31.5967489435537 22.9102896886067 27.6991181187322 49.4711073559808 63.1542086941316 19.838983406215 46.7748113896149 2.35772218928121 1.2373937353837
"245476_at" 7.90843419098636 15.2958768401048 61.4363143581978 259.292694181177 52.1100913435138 35.7762989869182 28.2135417964297 115.72636150387 4.10180197647197 2.03625784421712
"245504_at" 26.2034886433414 49.7795687996983 121.000923934663 14.116274331791 123.6913798452 314.659527688108 65.6613271259009 150.822393955033 2.29697449863969 1.19973483978494
