Id,Chr,Start,End,GC_Percent
ENSMUSG00000024566,chr18,80734141,80934060,41.03
ENSMUSG00000022652,chr16,48431237,48630900,41.38
ENSMUSG00000068663,chr16,10545339,10744878,47.38
ENSMUSG00000051586,chr6,120931707,121130999,49.75
ENSMUSG00000032263,chr9,83925145,84124240,41.5
ENSMUSG00000020672,chr12,30174482,30373375,42.37
ENSMUSG00000038170,chr3,97689824,97888707,44.36
ENSMUSG00000024236,chr18,4920540,5119299,45.35
ENSMUSG00000022441,chr15,83866712,84065379,48.97
ENSMUSG00000026640,chr1,194618218,194816869,44.06
ENSMUSG00000032878,chr11,28385685,28584324,37.93
ENSMUSG00000109336,chr7,28399522,28598144,49.77
ENSMUSG00000021879,chr14,26693274,26891703,40.31
ENSMUSG00000039316,chr17,49992257,50190674,46.89
ENSMUSG00000018589,chrX,165129017,165327393,36.56
ENSMUSG00000030583,chr7,29320372,29518641,50.4
ENSMUSG00000019866,chr10,43950636,44148853,44.11
ENSMUSG00000022053,chr14,67233292,67430918,44.65
ENSMUSG00000040536,chr4,14952245,15149794,39.48
ENSMUSG00000032702,chr19,25236975,25434496,45.81
ENSMUSG00000025255,chr3,5218526,5415857,36.98
ENSMUSG00000021087,chr12,72211752,72409054,43.75
ENSMUSG00000058925,chr18,57533780,57731065,41.94
ENSMUSG00000026740,chr2,18195654,18392830,38.7
ENSMUSG00000040282,chr2,115581716,115778768,40.57
ENSMUSG00000026343,chr1,125676995,125873862,44.23
ENSMUSG00000030839,chr7,46443154,46639807,47.95
ENSMUSG00000019843,chr10,39368855,39565381,46.37
ENSMUSG00000016128,chr5,151037510,151233836,43.36
ENSMUSG00000070280,chr9,119169455,119365553,45.73
ENSMUSG00000035681,chr10,112271121,112467024,38.45
ENSMUSG00000029420,chr5,128757791,128953486,48.8
ENSMUSG00000026768,chr2,12106632,12301922,40.45
ENSMUSG00000022321,chr15,18818947,19014236,36.55
ENSMUSG00000103800,chr18,36992371,37187657,39.92
ENSMUSG00000022449,chr15,94270163,94465418,42.03
ENSMUSG00000029174,chr5,64156305,64351486,45.35
ENSMUSG00000068794,chr6,7997808,8192617,39.81
ENSMUSG00000027695,chr3,27938695,28133362,43.59
ENSMUSG00000026727,chr2,13076821,13271415,42.27
ENSMUSG00000053025,chr7,75114894,75309262,42.72
ENSMUSG00000026991,chr2,59160850,59355208,43.02
ENSMUSG00000037624,chr1,189207930,189402273,43.35
ENSMUSG00000042359,chr2,76406508,76600647,42.48
ENSMUSG00000040675,chr10,3973118,4167081,44.81
ENSMUSG00000027674,chr3,32949408,33143247,42.04
ENSMUSG00000042589,chr5,121856366,122050102,52.39
ENSMUSG00000039298,chr4,70216856,70410443,44.09
ENSMUSG00000021108,chr12,73584796,73778185,45.43
ENSMUSG00000068015,chr14,74754675,74947876,44.49
ENSMUSG00000026347,chr1,127486546,127679548,45.26
ENSMUSG00000028351,chr4,68761514,68954397,38.47
ENSMUSG00000032220,chr9,70207350,70399766,45.74
